bando,piattaforma,commento_p,target
interventi urgenti di valorizzazione dei beni culturali 2017,siage,bando risulta abbastanza chiaro amministrazioni pubbliche avviso risultano ristrette tempistiche esecuzione interventi non non_tratta non_solo non_acquisti non_volte non_dover non_affidare non_lavori non_dietro non_progettazione non_tempi non_lunghi non_affidamenti non_incarichi non_progettazione non_approvazione non_progetti non_appalti,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,tempi risposta troppo lunghi,0
turismoeattrattivita,siage,interfaccia molto intuitivo,1
sostegno manifestazioni sportive,bandi online,vicino iniziative favore cittadini valorizzazione territorio,1
rinnova autoveicoli,bandi online,fase rendicontazione non non_chiaro non_andare non_ritrovare non_domanda non_intuitivo non_inserire non_tutte non_domande non_presentate non_interno non_sezione non_area,1
faber 2020,bandi online,parole contenute bando possono essere interpretate vari modi ottima assistenza specifica bando possono essere risolti,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,semplificherei burocrazia minimo,0
turismoeattrattivita,siage,qualità bando ottima semplice chiedere meno dati rendere chiara richiesta documentazione,1
musei 2016,siage,procedura tutte fasi stata migliorata ultimo anno stato facile caricare documenti scaricare dovevano essere compilati grazie,1
autoimprenditorialità - articolo43,bandi online,trovo disorientante fuorviante differenti portali seconda bandi,0
musei 2017,siage,dovrebbero essere snelle chiare modalità relative predisposizione richieste esito dovrebbe essere comunicato tempi meno lunghi,0
e di nuovo sport,bandi online,molti inserimenti nn valutano subito errore evidenziano fine perdendo molto tempo pc spesso appare solo prima pagina fa prima volta tipo procedura passa voce seguente genera altro errore non non_rilevato non_subito non_fine non_call non_center non_spesso non_preciso non_esauriente non non_vede non_aiutarci non_dovendo non_dialogare non_responsabili non_bandi non_via non_mai non_diventa non_difficile non_chiarirsi,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,valutazione tuttosommato buona potrebbe essere meno burocratica piu celere,0
faber 2020,bandi online,incontrato parecchie difficoltà avere chirimenti rispeto termini fatturazione rispetto consegna macchinari ora credo non non_possa non_essere non_ritenuto non_correto non_quantomeno non_parte non_dover non_pagare non_macchinario non_fisicamnete non_arrivera non_solo non_40 non_60 non_gg non_richieste non_poste non_ns non_consulente non_sembra non non_stata non_data non_arisposta non_merito non_soprattutto non non_esistono non_scritti non_graziesaluti,0
promozione culturale legge 9 2018,bandi online,fase rendicontazione portale presentava alcune lacune esempio stati costretti caricare relazione due volte non non_chiare non_alcune non_modalità non_relative non_parte non_giustificativi non_precisiamo non_utile non_avere non_moduli non_indicazioni non_relazione non_rendicontazione non_inizio non non_fine,1
rinnova autoveicoli,bandi online,portale funziona bene richiesta domanda banda facile compilare inviare,1
bando accumulo anno 2017,siage,passaggi difficili ottenuto assistenza richiesta,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,molto semplici indicazioni fornite modulistica puntualità comunicazione esito,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,sicuramente utile sostenere progetto autonomia,1
innodrivermisuraa,bandi online,stato utile supporto sviluppo innovazione prodotto società,1
rivivi lombardia anno 2020,bandi online,sezione rendicontazione deve essere ampiamente migliorata usabilità passaggi salvataggio dati amministrativi non non_chiari,0
adeguamento sale da spettacolo ed 2019,bandi online,teniamo ancora volta ribadire riconoscimento cortesia professionalità tutte persone struttura regionale modo interfacciarci riconoscere senza aiuti non non_stato non_possibile non_programmare non_stato non_realizzato non_bene non_comunità non_territorio,1
bando accumulo anno 2017,siage,perche stata fatta cosa intelligente,1
bando accumulo anno 2017,bandi online,stato riammesso rifinanziamento stato avvisato 30 giorni prima scadenza inoltre documento allaccio gse molto complesso lungo ottenere,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,ritenuto bando molto utile vantaggio discreto aiuto economico documentazione sito abbastanza chiara comunque laddove necessaria spiegazione persone contattate telefonicamente sempre state disponibili preparate chiarendomi dubbi forse unica critica capire status richiesta documenti forniti corretti sufficienti,1
rlo12019008323_arche misura b,bandi online,bisogna considerare complesso complessità generare bando auguro futuro qualcosa automatico meno documenti maggior parte molte volte repliche servirebbe meccanismo snellire lato client raccolta dati rendicontazione fine causa momento storico non non_stato non_semplice non_soddisfare non_punti non non_dipeso non_bandoad non_maiora,1
contributi acquisto attrezzature vvff volontari,pec-peo,chiari rapidi disponibilita assistenza,1
alvia,bandi online,molto lenti fase approvazione temiamo stessa lentezza fase rendicontazione,0
bando accumulo anno 2017,bandi online,firma elettronica difficoltà tessera cns,0
bando accumulo anno 2017,siage,direi oltre opportunita contributo direi complesso potrebbe migliorare tempistiche emanazione bando stesso,1
alvia,bandi online,troppa documentazione presentare tempi risposta estremamente lunghi documenti parere volte inutili consumano tempo risorse preparazione piccola azienda tempo importante non non_ammissibile non_aspettare non_tempi non_burocrazia non_bando non_burocrazia non_stata non_troppa non_punto non_altra non_piccola non_azienda non_chiedeva non_parere non_partecipare non_stesso non_bando non_vivamente non_sconsigliato non_proseguire non_dispiace non_dover non_dare non_giudfizi non_così non_negativi non_speriamo non_servano non_futuro non_migliorare non_sistema,0
bando accumulo anno 2017,bandi online,chiaro trasparente sito professionale,1
e di nuovo sport,bandi online,modalità semplice chiara intuitiva portata,1
e di nuovo sport,bandi online,troppo lungo lavoro rendicontazione dovrebbe essere semplificato scansionare unire pdf caricare diventa lavoro estenuante quando deve rendicontare somma molto alta,0
patrimonio immateriale avviso unico 2017,siage,perchè soddisfatto ogni esigenza,1
bando accumulo anno 2017,bandi online,breve tempo riuscita completare unica osservazione proprio vogliamo essere precisi alcuni documenti già stati inoltrati fase domanda partecipazione stati nuovamente richiesti sede richiesta erogazione potuto creare flag scritta documento già inoltrato,1
rinnova autoveicoli,bandi online,semplicità,1
telecamere mobili com singolo 2018,bandi online,intuitivo utilizzo,1
turismoeattrattivita,siage,ritengo bando stato particolarmente utile interessante me necessitavano riqualificare propria offerta turistica aggiornare propri servizi ritengo inoltre documentazione disponibile modalità gestione previste presentazione domanda risultate decisamente utili efficaci,1
rinnova autoveicoli,bandi online,difficile entrare cominciare informazioni tasti fallaci,0
bando pro loco,siage,entità contributo concesso viene richiesta troppo documentazione,0
innodrivermisuraa,bandi online,manuale complesso va ripreso mano distanza molti mesi esempio partecipazione bando 7 2017 assegnazione 3 2018 verifiche 7 2018 chiusura 31 8 2018 rendicontazione fatture 9 2018 2 2019 attesa rimborso separare diversi capitoli estremamente d aiuto scadenza 31 agosto 31 dicembre evitare,0
promozione culturale legge 9 2017,siage,parte dover scrivere dati fatture nuova strutturazione accessibilità piattaforma buona,1
sostegno manifestazioni sportive,siage,facilita compilazione rendicontazione,1
bando accumulo anno 2017,bandi online,stato necessario molte informazioni potere accedere dati richiesti bando,1
rinnova autoveicoli,bandi online,non non_possibile non_inserire non_documenti non_composti non_pagine non_sistema non_accetta non_solo non_file non non_possibile non_inserire non_esempio non_tre non_file non_parte non_documento non_forse non non_capito non_fare,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,perchè finalmente qualcosa muove categorie protette,1
telecamere mobili com singolo 2018,bandi online,,1
faber i ed,bandi online,resto parere realmente bisogno potrebbe non non_trovare non_finanziamenti non_poter non_pagare non_accedere non_tutte non_carte non_regola non_bando,1
alvia,bandi online,bando estremamente utile effettuare importanti investimenti fine essere maggiormente competitivi innovativi,1
e di nuovo sport,bandi online,molto lungo processo caricamento giustificativi piattaforma difficile tenere traccia completezza inserimenti utile avere immediatamente alert quamdo manca qualcosa elenco non non_solo non_fine non_quando non_passa non_fase non_successiva,1
alvia,bandi online,troppo lunga fase istruttoria ammissione 1 anno,0
musei 2018,bandi online,procedura online semplice immediata caricamenti veloci generazione automatica documenti sottoscrivere digitalmente inviare molto utile,1
bando accumulo anno 2017,siage,necessità semplificazione difficoltà caricare documenti sistema bloccava continuamente,0
contributi asd ssd linea 1 e linea 2 2017,siage,alcune domande criptiche riferimento articoli leggi diverse senza guida linea nidificazione rendicontazione quietanza tipo spesa etc duplicazione dati richiesti ammontare viene chiesto volte ragioni diverse rendono lento procedimento,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,rapidità efficienza,1
nidigratis2019,bandi online,conoscenza procedura quando stata attivata quindi anni ovviamente facilitati,1
bando accumulo anno 2017,siage,salve non non_arrivato non_nessun non_messaggio non_mail non_indicasse non_procedura non_accettazione non_contributo non_bando non_dovuto non_verificare non_saltuariamente non_sito non_siage non_lombardia,0
bando accumulo anno 2017,bandi online,ritengo alcuni passaggi ridondanti alcuni casi compilazione diventa complicata dovuto chiedere informazioni volte fornito impianto no non non_credo non_riuscito non_compilare non_correttamente non_dati,0
piano nazionale sicurezza stradale,siage,semplice intuitivo utilizzare eccellente servizio assistenza servirebbe tenere prevedere finestra rendicontazione iva parte enti pubblici,1
faber i ed,bandi online,manuale rendicontazione carente informazioni non non_capisce non_documenti non_devono non_essere non_firmati non_digitalmente non non_specificato non_protocollo non_firma non_digitale non_utilizzare,0
innodrivermisuraa,bandi online,iniziativa ottima procedura selezione chiara potrebbe essere migliorata assistenza caso bisogno chiarimenti alcuni punti non non_presente non_numero non_telefono non_dedicato non non_sempre non_riesce non_ricevere non_risposta non_tempi non_brevi non_mail non non_sempre non_istruzioni non_riportate non_bando non_chiare non_facile non_interpretazione non_persone non non_settore non_quindi non_maggiore non_supporto non_dedicato non_potrebbe non_essere non_utile non_soprattutto non_fase non_rendicontazione,0
bando accumulo anno 2017,siage,non non_assegnato non_punteggio non_massimo non_fase non_partecipazione non_bando non_dovuto non_riprendere non_volte non_sessione non_forse non_troppi non_utenti non_connessi non_qualche non_passaggio non_consultazione non_pratiche non non_intuitivo,1
nidigratis2019,bandi online,bando intesa misura supporto famiglie cosa fantastica procedura gestionale immediata comprensione molto snella veloce,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,nessuno sapeva indicarmi cinsegnare documentazione,0
asd 2019,bandi online,procedure guidate abbastanza intuitive,1
faber i ed,bandi online,dovrebbero essere ammessi acquisti fatti leasing,0
rinnova autoveicoli,bandi online,ancora aspettando soldi filato liscio,1
asd 2018,bandi online,migliorato anni,1
rinnova autoveicoli,bandi online,perchè fino momento non non_problemi non_parti non_amministrative non_risposte non_state non_tempestive non_confido non_poter non_confermare non_stesso non_ultima non_parte non_relativa non_rimborso non_grazie non_attività non_cordiali non_saluti non_p non_fiameni,1
